name,rating,review_count,price,categories,address,latitude,longitude,phone,url
Bottega,4.3,1106,$$,"['Italian', 'Pasta Shops', 'Pizza']","1132 Valencia St, San Francisco, CA 94158",37.75472,-122.4212,(415) 655-9048,https://www.yelp.com/biz/bottega-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Sokcho,5.0,1,,"['Korean', 'Asian Fusion']","336 Clement St, San Francisco, CA 94118",37.783216,-122.463016,(415) 387-8370,https://www.yelp.com/biz/sokcho-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
The Snug,4.0,438,$$,"['Cocktail Bars', 'New American']","2301 Fillmore St, San Francisco, CA 94115",37.79094,-122.43443,,https://www.yelp.com/biz/the-snug-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Horsefeather,4.0,596,$$,"['Cocktail Bars', 'New American']","528 Divisidero St, San Francisco, CA 94117",37.774501,-122.437355,(415) 817-1939,https://www.yelp.com/biz/horsefeather-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Fog Harbor Fish House,4.3,10433,$$,"['Seafood', 'Wine Bars', 'Cocktail Bars']","39 Pier, Ste 202A, San Francisco, CA 94133",37.80889,-122.41025,(415) 969-2010,https://www.yelp.com/biz/fog-harbor-fish-house-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Nopa,4.2,5512,$$$,"['New American', 'Desserts', 'Cocktail Bars']","560 Divisadero St, San Francisco, CA 94117",37.77502915705348,-122.43761001966246,(415) 864-8643,https://www.yelp.com/biz/nopa-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Pearl,4.4,501,$$$,"['Italian', 'Seafood', 'Mediterranean']","6101 California St, San Francisco, CA 94121",37.7838344,-122.4830463,(415) 592-9777,https://www.yelp.com/biz/pearl-san-francisco-8?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Blind Butcher,4.1,374,$$,"['New American', 'Wine Bars']","4058 18th St, San Francisco, CA 94114",37.76116,-122.43414,(415) 529-2478,https://www.yelp.com/biz/blind-butcher-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Memento SF,4.7,54,,"['New American', 'Cocktail Bars', 'Breakfast & Brunch']","1305 Castro St, San Francisco, CA 94114",37.751066336195144,-122.4337981,(415) 829-3099,https://www.yelp.com/biz/memento-sf-san-francisco-3?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Kothai Republic,4.6,294,,"['Korean', 'Thai', 'Breakfast & Brunch']","1398 9th Ave, San Francisco, CA 94122",37.762389,-122.466065,(415) 742-4058,https://www.yelp.com/biz/kothai-republic-san-francisco?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
Dalida,4.5,263,$$$,"['Mediterranean', 'Turkish', 'Bars']","101 Montgomery St, Ste 100, San Francisco, CA 94129",37.800046977658894,-122.45958044459428,(415) 237-1999,https://www.yelp.com/biz/dalida-san-francisco-2?adjust_creative=tAOVWtFXWWTfL-AgnlXHTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=tAOVWtFXWWTfL-AgnlXHTQ
