name,rating,review_count,categories,price_type,address,phone
Bottega,4.3,1106,"['Italian', 'Pasta Shops', 'Pizza']",2.0,"1132 Valencia St, San Francisco, CA 94158",(415) 655-9048
Sokcho,5.0,1,"['Korean', 'Asian Fusion']",2.0,"336 Clement St, San Francisco, CA 94118",(415) 387-8370
Horsefeather,4.0,596,"['Cocktail Bars', 'New American']",2.0,"528 Divisidero St, San Francisco, CA 94117",(415) 817-1939
Fog Harbor Fish House,4.3,10433,"['Seafood', 'Wine Bars', 'Cocktail Bars']",2.0,"39 Pier, Ste 202A, San Francisco, CA 94133",(415) 969-2010
Nopa,4.2,5512,"['New American', 'Desserts', 'Cocktail Bars']",3.0,"560 Divisadero St, San Francisco, CA 94117",(415) 864-8643
Pearl,4.4,501,"['Italian', 'Seafood', 'Mediterranean']",3.0,"6101 California St, San Francisco, CA 94121",(415) 592-9777
Blind Butcher,4.1,374,"['New American', 'Wine Bars']",2.0,"4058 18th St, San Francisco, CA 94114",(415) 529-2478
Memento SF,4.7,54,"['New American', 'Cocktail Bars', 'Breakfast & Brunch']",2.0,"1305 Castro St, San Francisco, CA 94114",(415) 829-3099
Kothai Republic,4.6,294,"['Korean', 'Thai', 'Breakfast & Brunch']",2.0,"1398 9th Ave, San Francisco, CA 94122",(415) 742-4058
Dalida,4.5,263,"['Mediterranean', 'Turkish', 'Bars']",3.0,"101 Montgomery St, Ste 100, San Francisco, CA 94129",(415) 237-1999
Nepa  Indian Cuisine,4.9,95,"['Himalayan/Nepalese', 'Indian']",2.0,"507 Divisadero St, San Francisco, CA 94117",(415) 829-3180
Marufuku Ramen,4.5,5126,['Ramen'],2.0,"1581 Webster St, Ste 235, San Francisco, CA 94115",(415) 872-9786
Fermentation Lab,4.6,88,"['Cocktail Bars', 'Seafood', 'New American']",2.0,"1700A Post St, San Francisco, CA 94115",(415) 757-0667
Santeria,4.4,328,"['Mexican', 'Cocktail Bars']",2.0,"2251 Market St, San Francisco, CA 94114",(415) 896-4496
The Laundromat,4.6,316,"['Pizza', 'Bagels', 'Beer Bar']",2.0,"3725 Balboa St, San Francisco, CA 94121",(415) 379-4340
Zentarou Sushi and Sake Bar,4.6,10,"['Japanese', 'Sushi Bars']",2.0,"1380 9th Ave, San Francisco, CA 94122",(659) 246-9635
Mashita Galbi Jjim,4.8,18,['Asian Fusion'],2.0,"2123 Polk St, San Francisco, CA 94109",(415) 400-4084
Bansang,4.2,440,"['Korean', 'Tapas/Small Plates', 'Asian Fusion']",2.0,"1560 Fillmore St, San Francisco, CA 94115",(415) 441-9294
Taniku Izakaya,4.8,156,"['Izakaya', 'Ramen', 'Noodles']",2.0,"1035 Geary St, San Francisco, CA 94109",(415) 658-7555
Savor,4.7,222,"['Mediterranean', 'Vegetarian', 'Tapas/Small Plates']",2.0,"401 Irving St, San Francisco, CA 94122",(415) 702-6048
Beretta Divisadero,4.2,511,"['Italian', 'Pizza', 'Breakfast & Brunch']",2.0,"661 Divisadero St, San Francisco, CA 94117",(415) 654-5211
Fable,4.1,874,"['New American', 'Wine Bars', 'Breakfast & Brunch']",2.0,"558 Castro St, San Francisco, CA 94114",(415) 590-2404
Elena's Mexican Restaurant,3.9,232,"['American', 'Mexican']",2.0,"255 W Portal Ave, San Francisco, CA 94127",(415) 622-4440
MuuKaTa6395 Thai Charcoal BBQ,4.6,382,['Thai'],2.0,"4217 Geary Blvd, San Francisco, CA 94118",(415) 429-4956
